LandWaterProtect,LandWaterManage,Livelihood,SpeciesManage,EducateAware,LawPolicy,WorkshopName,Justification,PARCA,TNC,EPA,ACJV,NBCI,Alabama,Florida,NorthCarolina,Virginia,Georgia,HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200030704,Stokes Branch,Ochlockonee,Ochlockonee,Lower Ochlockonee,34906.711237484276,53881563.13671875
Yes,Yes,Yes,Yes, ,Yes,Osceola to Okefenokee,"Part of the Okefenokee Extension, Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Provides connectivity between Okefenokee/Osceola National Forest through Camp Blanding to Ocala National Forest.  Follows Satilla River north to ""Gods country"".  Complements priority areas north of Okefenokee and provides inland connectivity to the coast along St. Mary's river. Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture. Ecological connectivity, opportunities to protect species migration, native plants and animals and watersheds",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102060202,Alligator Creek-New River,Suwannee,Suwannee,Santa Fe,47148.709592037325,61524931.66796875
Yes,Yes,Yes,Yes, , ,Suwannee River Corridor,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority, , ,Priority, , , ,031102050202,Blue Spring-Suwannee River,Suwannee,Suwannee,Lower Suwannee,81664.0753726711,160894347.3203125
 ,Yes, , , , ,Apalachicola Region,"Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.", ,Priority, ,Priority, , ,Priority, , , ,031101030504,Lower Wacissa River,Suwannee,Aucilla-Waccasassa,Aucilla,50146.45760788414,99856068.24609375
 ,Yes,Yes, , , ,Karst/Sata Fe Basin,Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture, ,Priority, ,Priority, , ,Priority, , , ,031102060603,Rose Creek-Ichetucknee River,Suwannee,Suwannee,Santa Fe,67969.84189558233,122502900.4296875
Yes,Yes, , , , ,Okefenokee Extension,"Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes.", ,Priority,Priority,Priority, , ,Priority, , , ,030801031102,Peters Creek,St. Johns,St. Johns,Lower St. Johns,52467.55607685288,58260713.0234375
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200031001,Upper Sopchoppy River,Ochlockonee,Ochlockonee,Lower Ochlockonee,62132.86324719065,95808609.49609375
Yes,Yes,Yes,Yes, , ,Apalachicola National Forest,Apalachicola National Forest,Priority,Priority, ,Priority,Priority, ,Priority, , , ,031200010704,Wakulla Springs,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,62340.50302438719,89293208.02734375
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031200010801,Upper Lost Creek,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,52713.88702028705,87316346.453125
Yes,Yes,Yes,Yes, , ,Apalachicola Region,"Part of the Tallahassee Greater Area, SW of Tallahassee this area provides connectivity. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031200010605,McBride Slough,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,43686.14010045863,62413160.4921875
 ,Yes,Yes,Yes, , ,Tallahassee Greater Area,"SW of Tallahassee , this area provides connectivity.",Priority,Priority, ,Priority, , ,Priority, , , ,031200030702,Panther Creek-Telogia Creek,Ochlockonee,Ochlockonee,Lower Ochlockonee,41308.933293030284,67676838.24609375
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the ACF basin main stem, Apalachicola, Chattahoochee, and Flint River. The policies and approach to water within this area may set precedence for other areas with similar issues across the Southeast.Concentration of private and working lands including Tall Timbers Land Conservancy, which has protected many easements within this area.Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031300110503,Outside Lake,Apalachicola,Apalachicola,Apalachicola,63282.45784038448,96920070.54296875
Yes,Yes, , , , ,Okefenokee Extension,"Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes.",Priority,Priority,Priority,Priority,Priority, ,Priority, , , ,030801030904,Lower South Fork of Black Creek,St. Johns,St. Johns,Lower St. Johns,71581.14693858633,131030355.40234375
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200030805,Reedy Creek,Ochlockonee,Ochlockonee,Lower Ochlockonee,69266.86976060222,132565870.33203125
 ,Yes,Yes,Yes, , ,Apalachicola Region,"SW of Tallahassee , this area provides connectivity. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200030701,Devil's Branch-Telogia Creek,Ochlockonee,Ochlockonee,Lower Ochlockonee,42733.08440340427,68138891.7734375
